id,zipcode,Influencer
1891,33461,No
1892,08751,No
1893,85714,No
1894,60630,No
1895,60632,No
1896,33189,No
1897,33126,Yes
1898,85719,No
1899,77011,No
1900,10027,Yes
1901,70802,No
1902,60803,No
1903,19124,Unknown
1904,10001,Yes
1905,60660,No
1906,11232,No
1907,10467,No
1908,77551,No
1909,92365,No
1910,35217,No
1911,77087,No
1912,11234,Yes
1913,10011,No
1914,89052,No
1915,10001,Yes
1916,93730,No
1917,77388,No
1918,77388,No
1919,10003,No
1920,10028,Yes
1921,48192,No
1922,78248,No
1923,10004,No
1924,10001,Yes
1925,10001,Yes
1926,10075,No
1927,33446,No
1928,89052,No
1929,10001,Yes
1930,70816,No
1931,33472,No
1932,60656,Yes
1933,10002,No
1934,38016,No
1935,10014,No
1936,77429,No
1937,77346,No
1938,10013,No
1939,10001,Yes
1940,77074,No
1941,39041,No
1942,89183,No
1943,48125,Unknown
1944,11249,No
1945,85716,No
1946,60751,No
1947,60455,No
1948,60007,No
1949,11203,No
1950,11213,No
1951,77096,No
1952,33142,No
1953,10001,No
1954,60473,No
1955,89128,No
1956,11216,No
1957,19126,Unknown
1958,19137,No
1959,37013,No
1960,10458,No
1961,19134,No
1962,19119,No
1963,60611,No
1964,10013,Yes
1965,60005,No
1966,33473,No
1967,10001,Yes
1968,60653,No
1969,60131,Yes
1970,92881,No
1971,11218,No
1972,92883,No
1973,10001,Yes
1974,11226,No
1975,18706,No
1976,89129,No
1977,10013,Yes
1978,91362,No
1979,60056,No
1980,10001,Yes
1981,10001,Yes
1982,10001,No
1983,10001,Yes
1984,11226,No
1985,77429,No
1986,78250,No
1987,10010,No
1988,60625,No
1989,60657,No
1990,77026,Yes
1991,89441,No
1992,77005,No
1993,10010,No
1994,33101,No
1995,19125,No
1996,10035,No
1997,10024,No
1998,10452,No
1999,33801,No
2000,92505,No
2001,10011,Yes
2002,08759,No
2003,10457,Yes
2004,77082,No
2005,89081,No
2006,70802,Yes
2007,77373,Unknown
2008,18643,No
2009,11218,No
2010,10031,No
2011,92505,No
2012,79907,Unknown
2013,08757,Yes
2014,48240,No
2015,79932,No
