id,zipcode,Influencer
437,98011,Unknown
438,98104,No
439,98059,No
440,97390,No
441,98362,No
442,98226,No
443,98284,No
444,98155,No
445,98229,No
446,98277,No
447,98632,No
448,98273,No
449,98277,No
450,98247,No
451,98225,No
452,97394,No
453,98030,No
454,98116,No
455,98177,No
456,98121,Yes
457,98002,No
458,97103,No
459,98626,No
460,98059,No
461,98277,No
462,98073,Yes
463,98178,No
464,98059,Yes
465,98520,No
466,97103,No
467,98101,No
468,98027,No
469,98034,No
470,98645,No
471,98030,No
472,98103,No
473,11218,No
474,07604,No
475,07646,No
476,11213,No
477,11378,Yes
478,07663,No
479,11214,No
480,07631,No
481,08330,No
482,08204,No
483,08527,No
484,07410,No
485,07642,No
486,19124,No
487,11207,No
488,19141,Unknown
489,11374,No
490,11379,No
491,08753,Unknown
492,07002,Yes
493,11419,No
494,08037,No
495,19128,No
496,07026,No
497,07002,No
498,11214,No
499,19121,Yes
500,19134,No
501,07712,No
502,19151,No
503,11385,No
504,07306,No
505,08332,No
506,19152,No
507,11229,No
